Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

08:44:36 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:58 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:58 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:58 PM      eth4      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:58 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:58 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:58 PM     br-ex      9.00      0.00      0.54      0.00      0.00      0.00      0.00

08:44:58 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:59 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:59 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:59 PM    br-int      4.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:59 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:59 PM      eth0     55.00     71.00     15.56     15.68      0.00      0.00      1.00
